date,TikTok,Snapchat,Twitter,Instagram,Coronavirus,,,,,,,,,,,,,,,,,,,,,,,"% Increase since January 14th, 2020",,,
4/7/2019,1,12,50,80,0,,,,,,,,,,,,,,,,,,,,,,,TikTok,Snapchat,Twitter,Instagram
4/14/2019,1,13,54,80,0,,,,,,,,,,,,,,,,,,,,,,,11,3,15,21
4/21/2019,1,13,55,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,
4/28/2019,1,12,52,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2019,1,16,53,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5/12/2019,1,17,54,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2019,1,15,54,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2019,1,14,52,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/2019,1,25,54,84,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2019,2,14,55,92,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,3,14,56,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,2,14,55,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2019,2,14,56,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7/7/2019,2,14,57,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2019,2,14,56,95,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7/21/2019,2,13,54,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,
7/28/2019,3,12,56,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2019,3,12,57,91,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2019,3,14,55,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/2019,3,12,55,93,0,,,,,,,,,,,,,,,,,,,,,,,,,,
8/25/2019,3,12,54,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2019,15,13,54,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/2019,21,12,53,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/2019,19,12,51,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9/22/2019,12,12,60,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,
9/29/2019,4,12,56,78,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/2019,4,13,59,88,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10/13/2019,5,13,62,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10/20/2019,5,12,57,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,
10/27/2019,4,12,57,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11/3/2019,5,11,55,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11/10/2019,5,11,56,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/2019,6,11,55,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/2019,7,12,50,79,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/2019,6,12,50,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/2019,6,12,55,72,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/2019,7,12,57,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/2019,8,14,52,81,0,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/2019,10,16,56,97,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/2020,9,13,60,77,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1/12/2020,9,12,53,76,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/2020,11,13,56,76,5,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/2020,9,12,64,80,13,,,,,,,,,,,,,,,,,,,,,,,,,,
2/2/2020,10,12,63,73,7,,,,,,,,,,,,,,,,,,,,,,,,,,
2/9/2020,11,13,59,75,6,,,,,,,,,,,,,,,,,,,,,,,,,,
2/16/2020,12,13,56,76,4,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/2020,11,12,54,72,16,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2020,11,12,55,69,31,,,,,,,,,,,,,,,,,,,,,,,,,,
3/8/2020,12,12,67,70,74,,,,,,,,,,,,,,,,,,,,,,,,,,
3/15/2020,15,16,71,74,100,,,,,,,,,,,,,,,,,,,,,,,,,,
3/22/2020,20,16,67,88,76,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2020,20,15,62,87,61,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
